Year,cd,Bachelors_degree_or_higher
2021,10_VA,296903
2021,10_WA,71178
2021,11_CA,377284
2021,11_FL,103990
2021,11_GA,50830
2021,11_IL,320588
2021,11_MI,220989
2021,11_NC,122226
2021,11_NJ,324600
2021,11_NY,121132
2021,11_OH,177116
2021,11_PA,95951
2021,11_TX,115435
2021,11_VA,181663
2021,12_CA,167786
2021,12_FL,68671
2021,12_GA,89975
2021,12_IL,104355
2021,12_MI,134644
2021,12_NC,114658
2021,12_NJ,146059
2021,12_NY,373927
2021,12_OH,154672
2021,12_PA,205472
2021,12_TX,226836
2021,13_CA,35268
2021,13_FL,112812
2021,13_GA,205331
2021,13_IL,182577
2021,13_MI,74735
2021,13_NC,163468
2021,13_NY,114096
2021,13_OH,185328
2021,13_PA,70265
2021,13_TX,74556
2021,14_CA,205181
2021,14_FL,207028
2021,14_GA,174544
2021,14_IL,102520
2021,14_NC,233477
2021,14_NY,53977
2021,14_OH,99869
2021,14_PA,180791
2021,14_TX,118366
2021,15_CA,128427
2021,15_FL,188100
2021,15_IL,52567
2021,15_NY,160161
2021,15_OH,118539
2021,15_PA,116806
2021,15_TX,33402
2021,16_CA,485948
2021,16_FL,81875
2021,16_IL,44385
2021,16_NY,209806
2021,16_PA,128205
2021,16_TX,117123
2021,17_CA,69348
2021,17_FL,95138
2021,17_IL,162853
2021,17_NY,185745
2021,17_PA,119994
2021,17_TX,95312
2021,18_CA,300563
2021,18_FL,110084
2021,18_NY,141865
2021,18_TX,134782
2021,19_CA,62186
2021,19_FL,138864
2021,19_NY,154210
2021,19_TX,85584
2021,2_AL,109775
2021,2_AR,107369
2021,2_AZ,124197
2021,2_CA,240596
2021,2_CO,322222
2021,2_CT,161476
2021,2_FL,121359
2021,2_GA,72430
2021,2_HI,102576
2021,2_IA,136782
2021,2_ID,105510
2021,2_IL,161689
2021,2_IN,105415
2021,2_KS,156782
2021,2_KY,114124
2021,2_LA,233076
2021,2_MA,188141
2021,2_MD,264361
2021,2_ME,100454
2021,2_MI,48892
2021,2_MN,160863
2021,2_MO,200506
2021,2_MS,125154
2021,2_MT,91777
2021,2_NC,115168
2021,2_NE,189631
2021,2_NH,166705
2021,2_NJ,124593
2021,2_NM,50546
2021,2_NV,115581
2021,2_NY,121274
2021,2_OH,59723
2021,2_OK,104455
2021,2_OR,79322
2021,2_PA,89661
2021,2_RI,131743
2021,2_SC,69344
2021,2_TN,107148
2021,2_TX,236653
2021,2_UT,226916
2021,2_VA,181279
2021,2_WA,84039
2021,2_WI,182888
2021,2_WV,124320
2021,20_CA,55726
2021,20_FL,197298
2021,20_NY,167509
2021,20_TX,182977
2021,21_CA,8293
2021,21_FL,105797
2021,21_NY,120703
2021,21_TX,47996
2021,22_CA,91598
2021,22_FL,146290
2021,22_NY,132699
2021,22_TX,15058
2021,23_CA,121328
2021,23_FL,61810
2021,23_NY,111081
2021,23_TX,95061
2021,24_CA,124514
2021,24_FL,122442
2021,24_NY,192863
2021,24_TX,349356
2021,25_CA,66541
2021,25_FL,231853
2021,25_NY,129110
2021,25_TX,161047
2021,26_CA,145242
2021,26_FL,60895
2021,26_NY,171291
2021,26_TX,337908
2021,27_CA,154014
2021,27_FL,290827
2021,27_TX,80057
2021,28_CA,210941
2021,28_FL,78343
2021,28_TX,156666
2021,29_CA,63758
2021,29_TX,2872
2021,3_AL,82034
2021,3_AR,118946
2021,3_AZ,25687
2021,3_CA,221887
2021,3_CO,112571
2021,3_CT,133732
2021,3_FL,127207
2021,3_GA,78688
2021,3_IA,136420
2021,3_IL,411440
2021,3_IN,93907
2021,3_KS,213478
2021,3_KY,105395
2021,3_LA,106646
2021,3_MA,177497
2021,3_MD,225117
2021,3_MI,229678
2021,3_MN,216846
2021,3_MO,204812
2021,3_MS,92932
2021,3_NC,128524
2021,3_NE,93616
2021,3_NJ,276710
2021,3_NM,117624
2021,3_NV,222493
2021,3_NY,145847
2021,3_OH,250580
2021,3_OK,78015
2021,3_OR,105843
2021,3_PA,239837
2021,3_SC,85493
2021,3_TN,140711
2021,3_TX,299000
2021,3_UT,67259
2021,3_VA,108826
2021,3_WA,139165
2021,3_WI,127635
2021,30_CA,97353
2021,30_TX,155921
2021,31_CA,60255
2021,31_TX,74549
2021,32_CA,438181
2021,32_TX,17197
2021,33_CA,23761
2021,33_TX,16539
2021,34_CA,258311
2021,34_TX,106145
2021,35_CA,65802
2021,35_TX,116793
2021,36_CA,116889
2021,36_TX,69568
2021,37_CA,149638
2021,37_TX,430861
2021,38_CA,216446
2021,38_TX,3805
2021,39_CA,154079
2021,4_AL,71815
2021,4_AR,82960
2021,4_AZ,241133
2021,4_CA,129414
2021,4_CO,110166
2021,4_CT,244036
2021,4_FL,92879
2021,4_GA,55656
2021,4_IA,110203
2021,4_IL,110202
2021,4_IN,163847
2021,4_KS,118348
2021,4_KY,184864
2021,4_LA,83562
2021,4_MA,255641
2021,4_MD,183199
2021,4_MI,64678
2021,4_MN,157791
2021,4_MO,101806
2021,4_MS,70169
2021,4_NC,193067
2021,4_NJ,103797
2021,4_NV,41189
2021,4_NY,242721
2021,4_OH,69689
2021,4_OK,91839
2021,4_OR,101203
2021,4_PA,130933
2021,4_SC,162893
2021,4_TN,84105
2021,4_TX,38269
2021,4_UT,200339
2021,4_VA,88745
2021,4_WA,89622
2021,4_WI,108692
2021,40_CA,58930
2021,41_CA,23011
2021,42_CA,68365
2021,43_CA,163586
2021,44_CA,169438
2021,45_CA,57894
2021,46_CA,145615
2021,47_CA,349778
2021,48_CA,314869
2021,49_CA,297925
2021,5_AL,127011
2021,5_AZ,154674
2021,5_CA,160418
2021,5_CO,163438
2021,5_CT,170946
2021,5_FL,189349
2021,5_GA,318718
2021,5_IL,126183
2021,5_IN,202509
2021,5_KY,74683
2021,5_LA,88593
2021,5_MA,356066
2021,5_MD,109901
2021,5_MI,114420
2021,5_MN,267454
2021,5_MO,101005
2021,5_NC,92869
2021,5_NJ,241764
2021,5_NY,167562
2021,5_OH,116763
2021,5_OK,192478
2021,5_OR,163619
2021,5_PA,168934
2021,5_SC,96620
2021,5_TN,246235
2021,5_TX,96379
2021,5_VA,151127
2021,5_WA,117249
2021,5_WI,124970
2021,50_CA,223384
2021,51_CA,92148
2021,52_CA,66796
2021,6_AL,209344
2021,6_AZ,174240
2021,6_CA,99872
2021,6_CO,290101
2021,6_FL,87161
2021,6_GA,219540
2021,6_IL,167010
2021,6_IN,110372
2021,6_KY,133232
2021,6_LA,72743
2021,6_MA,208434
2021,6_MD,183748
2021,6_MI,268645
2021,6_MN,98802
2021,6_MO,132350
2021,6_NC,176982
2021,6_NJ,229933
2021,6_NY,138924
2021,6_OH,68230
2021,6_OR,221693
2021,6_PA,241604
2021,6_SC,237132
2021,6_TN,63332
2021,6_TX,32188
2021,6_VA,129661
2021,6_WA,164965
2021,6_WI,181235
2021,7_AL,57665
2021,7_AZ,18333
2021,7_CA,107692
2021,7_CO,135966
2021,7_FL,121422
2021,7_GA,315584
2021,7_IL,77853
2021,7_IN,86997
2021,7_MA,81098
2021,7_MD,134239
2021,7_MI,133918
2021,7_MN,73642
2021,7_MO,113348
2021,7_NC,152225
2021,7_NJ,238873
2021,7_NY,453482
2021,7_OH,94609
2021,7_PA,122872
2021,7_SC,81201
2021,7_TN,178633
2021,7_TX,359440
2021,7_VA,208785
2021,7_WA,275141
2021,7_WI,79792
2021,8_AZ,62718
2021,8_CA,57527
2021,8_CO,107796
2021,8_FL,126418
2021,8_GA,121673
2021,8_IL,292434
2021,8_IN,89198
2021,8_MA,353343
2021,8_MD,268540
2021,8_MI,120720
