Year,cd,high_school_or_some_degree
2021,7_IL,60360
2021,7_IN,161495
2021,7_MA,76279
2021,7_MD,278554
2021,7_MI,244494
2021,7_MN,226813
2021,7_MO,307967
2021,7_NC,392701
2021,7_NJ,197839
2021,7_NY,489096
2021,7_OH,122734
2021,7_PA,259814
2021,7_SC,266228
2021,7_TN,345430
2021,7_TX,282531
2021,7_VA,332739
2021,7_WA,150851
2021,7_WI,235135
2021,8_AZ,155596
2021,8_CA,109503
2021,8_CO,220780
2021,8_FL,262040
2021,8_GA,444424
2021,8_IL,339993
2021,8_IN,291387
2021,8_MA,321314
2021,8_MD,152542
2021,8_MI,377381
2021,8_MN,359734
2021,8_MO,366035
2021,8_NC,242535
2021,8_NJ,129737
2021,8_NY,244185
2021,8_OH,224689
2021,8_PA,270352
2021,8_TN,218030
2021,8_TX,328762
2021,8_VA,179429
2021,8_WA,95883
2021,8_WI,245395
2021,9_AZ,490603
2021,9_CA,375075
2021,9_FL,202844
2021,9_GA,270098
2021,9_IL,140448
2021,9_IN,363104
2021,9_MA,256711
2021,9_MI,335932
2021,9_NC,315644
2021,9_NJ,277763
2021,9_NY,114230
2021,9_OH,363155
2021,9_PA,391551
2021,9_TN,361428
2021,9_TX,478680
2021,9_VA,339930
2021,9_WA,375590
